Base de datos DIPPR del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2          C3           C4       C5    Tmin, K  Tmax, K
 114  2,3-Dimethylpentane           C7H16      78.335   -6348.7    -8.5105     6.4311E-06    2    160      537.3    A
 115  Dimethylphthalate             C10H10O4   72.517   -10415     -6.755      1.3269E-06    2    274.18   766      A
 116  Dimethylsilane                C2H8Si     63.08    -4062.3    -6.425      1.5115E-16    6    122.93   402      A
 117  Dimethylsulfide               C2H6S      84.39    -5740.6    -9.6454     1.0073E-05    2    174.88   503.04   A
 118  Dimethylsulfoxide             C2H6OS     56.273   -7620.6    -4.6279     4.3819E-07    2    291.67   729      A
 119  Dimethylterephthalate         C10H10O4   43.541   -8204.8    -2.7519     1.0466E-18    6    413.8    772      A
 120  1,4-Dioxane                   C4H8O2     44.494   -5406.7    -3.1287     2.8913E-18    6    284.95   587      A
 121  Diphenylether                 C12H10O    59.969   -8585.5    -5.1538     1.9983E-18    6    300.03   766.8    A
 122  Dipropylamine                 C6H15N     54       -6018.5    -4.4981     9.9684E-18    6    210.15   550      A
 123  Dodecane                      C12H26     137.47   -11976     -16.698     8.0906E-06    2    263.57   658      A
 124  Eicosane                      C20H42     203.66   -19441     -25.525     8.8382E-06    2    309.58   768      A
 125  Ethane                        C2H6       51.857   -2598.7    -5.1283     1.4913E-05    2    90.35    305.32   A
 126  Ethanol                       C2H6O      73.304   -7122.3    -7.1424     2.8853E-06    2    159.05   514      A
 127  Ethylacetate                  C4H8O2     66.824   -6227.6    -6.41       1.7914E-17    6    189.6    523.3    A
 128  Ethylamine                    C2H7N      81.56    -5596.9    -9.0779     8.7920E-06    2    192.15   456.15   A
 129  Ethylbenzene                  C8H10      89.063   -7733.7    -9.917      5.9860E-06    2    178.2    617.15   A
 130  Ethylbenzoate                 C9H10O2    52.923   -7531.7    -4.2347     1.1835E-06    2    238.45   698      A
 131  2-Ethylbutanoicacid           C6H12O2    90.464   -10243     -9.2836     5.2573E-18    6    258.15   655      A
 132  Ethylbutyrate                 C6H12O2    57.661   -6346.5    -5.032      8.2534E-18    6    175.15   571      A
 133  Ethylcyclohexane              C8H16      80.208   -7203.2    -8.6023     4.5901E-06    2    161.84   609.15   A
 134  Ethylcyclopentane             C7H14      88.671   -7012.7    -10.045     7.4578E-06    2    134.71   569.5    A
 135  Ethylene                      C2H4       53.963   -2443      -5.5643     1.9079E-05    2    104      282.34   A
 136  Ethylenediamine               C2H8N2     73.51    -7572.7    -7.1435     1.2124E-17    6    284.29   593      A
 137  Ethyleneglycol                C2H6O2     84.09    -10411     -8.1976     1.6536E-18    6    260.15   720      A
 138  Ethyleneimine                 C2H5N      66.51    -6019.2    -6.3332     1.0394E-17    6    195.2    537      A
 139  Ethyleneoxide                 C2H4O      91.944   -5293.4    -11.682     1.4902E-02    1    160.65   469.15   A
 140  Ethylformate                  C3H6O2     73.833   -5817      -7.809      6.3200E-06    2    193.55   508.4    A
 141  2-Ethylhexanoicacid           C8H16O2    117.52   -12991     -12.895     6.1306E-18    6    235      674.6    A
 142  Ethylhexylether               C8H18O     77.523   -7978.8    -7.7757     1.0076E-17    6    180      583      A
 143  Ethylisopropylether           C5H12O     57.723   -5236.9    -5.2136     2.2998E-17    6    140      489      A
 144  Ethylisopropylketone          C6H12O     57.459   -6356.8    -4.9545     5.2015E-18    6    204.15   567      A
 145  Ethylmercaptan                C2H6S      65.551   -5027.4    -6.6853     6.3208E-06    2    125.26   499.15   A
 146  Ethylpropionate               C5H10O2    105.64   -8007      -12.477     9.0000E-06    2    199.25   546      A
 147  Ethylpropylether              C5H12O     86.898   -6646.4    -9.5758     5.9615E-17    6    145.65   500.23   A
 148  Ethyltrichlorosilane          C2H5Cl3Si  62.614   -6148.2    -5.84       1.0900E-17    6    167.55   559.95   A
 149  Fluorine                      F2         42.393   -1103.3    -4.1203     5.7815E-05    2    53.48    144.12   A
 150  Fluorobenzene                 C6H5F      51.915   -5439      -4.2896     8.7527E-18    6    230.94   560.09   A
 151  Fluoroethane                  C2H5F      56.639   -3576.5    -5.5801     9.8969E-06    2    129.95   375.31   A
 152  Fluoromethane                 CH3F       59.123   -3043.7    -6.1845     1.6637E-05    2    131.35   317.42   A
 153  Formaldehyde                  CH2O       101.51   -4917.2    -13.765     2.2031E-02    1    181.15   408      A
 154  Formamide                     CH3NO      100.3    -10763     -10.946     3.8503E-06    2    275.6    771      A
 155  Formicacid                    CH2O2      50.323   -5378.2    -4.203      3.4697E-06    2    281.45   588      A
 156  Furan                         C4H4O      74.738   -5417      -8.0636     7.4700E-06    2    187.55   490.15   A
 157  Helium-4                      He         11.533   -8.99       0.6724      2.7430E-01    1    1.76     5.2      A 
 158  Heptadecane                   C17H36     156.95   -15557     -18.966     6.4559E-06    2    295.13   736      A
 159  Heptanal                      C7H14O     92.252   -8349      -10.274     5.9252E-06    2    229.8    616.8    A
 160  Heptane                       C7H16      87.829   -6996.4    -9.8802     7.2099E-06    2    182.57   540.2    A
 161  Heptanoicacid                 C7H14O2    120.47   -13106     -13.31      5.8384E-18    6    265.83   677.3    A
 162  1-Heptanol                    C7H16O     147.41   -13466     -17.353     1.1284E-17    6    239.15   632.3    A
 163  2-Heptanol                    C7H16O     124.23   -11637     -14.148     6.9486E-17    5.7  230      608.3    A
 164  3-Heptanone                   C7H14O     78.463   -8077.2    -7.9062     8.0521E-18    6    234.15   606.6    A
 165  2-Heptanone                   C7H14O     75.494   -7896.5    -7.5047     8.9130E-18    6    238.15   611.4    A
 166  1-Heptene                     C7H14      65.922   -6189      -6.3629     2.0091E-17    6    154.12   537.4    A
 167  Heptylmercaptan               C7H16S     79.858   -8501.8    -8.1043     8.1501E-18    6    229.92   645      A
 168  1-Heptyne                     C7H12      59.083   -6031.8    -5.3072     1.4357E-17    6    192.22   547      A
 169  Hexadecane                    C16H34     156.06   -15015     -18.941     6.8172E-06    2    291.31   723      A
 170  Hexanal                       C6H12O     81.507   -7776.8    -8.4516     1.5143E-17    6    217.15   591      A
 171  Hexane                        C6H14      104.65   -6995.5    -12.702     1.2381E-05    2    177.83   507.6    A
 172  Hexanoicacid                  C6H12O2    114.05   -12332     -12.45      5.6253E-18    6    269.25   660.2    A
 173  1-Hexanol                     C6H14O     135.421  -12288     -15.732     1.2701E-17    6    228.55   611.3    A
 174  2-Hexanol                     C6H14O     109.42   -10449     -12.051     2.6122E-46    16   223      585.3    A
 175  2-Hexanone                    C6H12O     107.44   -8528.6    -12.679     8.4606E-06    2    217.35   587.61   A
 176  3-Hexanone                    C6H12O     73.155   -7242.9    -7.2569     1.2741E-17    6    217.5    582.82   A
 177  1-Hexene                      C6H12      51.024   -4986.4    -4.2463     1.6768E-17    6    133.39   504      A
 178  3-Hexyne                      C6H10      47.091   -5104      -3.6371     5.1621E-04    1    170.05   544      A
 179  Hexylmercaptan                C6H14S     68.467   -7390.5    -6.5456     7.7611E-18    6    192.62   623      A
 180  1-Hexyne                      C6H10      133.2    -7492.9    -18.405     2.2062E-02    1    141.25   516.2    A
 181  2-Hexyne                      C6H10      123.71   -7639      -16.451     1.6495E-02    1    183.65   549      A
 182  Hydrazine                     H4N2       76.858   -7245.2    -8.22       6.1557E-03    1    274.69   653.15   A
