Base de datos Antoine del Perry's Chemical Engineers Handbook
Vapour pressures of substances: 
(A) Ps = exp(C1+C2./T+C3.*lnT+C4.*T.^C5)./1000 kPa T in Kelvin         (B)   
TABLE 2-8    Vapor Pressure of Inorganic and Organic Liquids, ln P = C1 + C2/T + C3 ln T + C4 T C5, P in Pa
No.   Name                          Formula      C1        C2         C3          C4        C5    Tmin, K  Tmax, K
 216  trans-2-Methylcyclohexanol    C7H14O     54.179   -7477.2    -4.22       3.5225E-18    6    269.15   617      A
 217  Methylcyclopentane            C6H12      55.368   -5149.8    -5.0136     3.2220E-06    2    130.73   532.7    A
 218  1-Methylcyclopentene          C6H10      52.732   -5286.9    -4.4509     1.0883E-17    6    146.62   542      A
 219  3-Methylcyclopentene          C6H10      52.601   -5120.3    -4.4554     1.3288E-17    6    115      526      A
 220  Methyldichlorosilane          CH4Cl2Si   79.788   -5420      -9.0702     1.1489E-05    2    182.55   483      A
 221  Methylethylether              C3H8O      78.586   -5176.3    -8.7501     9.1727E-06    2    160      437.8    A
 222  Methylethylketone             C4H8O      72.698   -6143.6    -7.5779     5.6476E-06    2    186.48   535.5    A
 223  Methylethylsulfide            C3H8S      79.07    -6114.1    -8.631      6.5333E-06    2    167.23   533      A
 224  Methylformate                 C2H4O2     77.184   -5606.1    -8.392      7.8468E-06    2    174.15   487.2    A
 225  Methylisobutylether           C5H12O     57.984   -5339.6    -5.2362     2.0767E-17    6    150      497      A
 226  Methylisobutylketone          C6H12O     80.503   -7421.8    -8.379      1.8114E-17    6    189.15   574.6    A
 227  MethylIsocyanate              C2H3NO     57.612   -5197.9    -5.1269     2.1702E-17    6    256.15   488      A
 228  Methylisopropylether          C4H10O     53.867   -4701      -4.7052     2.8791E-17    6    127.93   464.48   A
 229  Methylisopropylketone         C5H10O     45.242   -5324.4    -3.2551     3.0363E-18    6    180.15   553.4    A
 230  Methylisopropylsulfide        C4H10S     52.82    -5437.7    -4.442      9.5103E-18    6    171.64   553.1    A
 231  Methylmercaptan               CH4S       54.15    -4337.7    -4.8127     4.5000E-17    6    150.18   469.95   A
 232  Methylmethacrylate            C5H8O2     107.36   -8085.3    -12.72      8.3307E-06    2    224.95   566      A
 233  2-Methyloctanoicacid          C9H18O2    105.7    -12458     -11.234     4.4629E-18    6    240      694      A
 234  2-Methylpentane               C6H14      53.579   -5041.2    -4.6404     1.9443E-17    6    119.55   497.7    A
 235  Methylpentylether             C6H14O     61.907   -6188.9    -5.706      1.1767E-17    6    176      546.49   A
 236  2-Methylpropane               C4H10      108.43   -5039.9    -15.012     2.2725E-02    1    113.54   407.8    A
 237  2-Methyl-2-propanol           C4H10O     172.27   -11589     -22.113     1.3703E-05    2    298.97   506.2    A
 238  2-Methylpropene               C4H8       78.01    -4634.1    -8.9575     1.3413E-05    2    132.81   417.9    A
 239  Methylpropionate              C4H8O2     70.717   -6439.7    -6.9845     2.0129E-17    6    185.65   530.6    A
 240  Methylpropylether             C4H10O     67.942   -5419.1    -6.8067     4.7778E-17    6    133.97   476.25   A
 241  Methylpropylsulfide           C4H10S     83.711   -6786.9    -9.2526     6.6666E-06    2    160.17   565      A
 242  Methylsilane                  CH6Si      37.205   -2590.3    -2.5993     6.0508E-06    2    116.34   352.5    A
 243  a-Methylstyrene               C9HIO      56.485   -6954.2    -4.7889     2.7753E-18    6    249.95   654      A
